date,region,channel,customers,orders,revenue,marketing_spend
2025-10-07,North,Search,464,24,2123.03,372.23
2025-10-07,North,Social,544,27,2827.31,314.44
2025-10-07,North,Email,266,19,1640.32,93.75
2025-10-07,North,Affiliate,304,23,2219.94,199.28
2025-10-07,West,Search,432,27,2378.98,342.65
2025-10-07,West,Social,455,22,1734.91,328.3
2025-10-07,West,Email,229,16,1411.57,95.55
2025-10-07,West,Affiliate,272,18,1611.41,183.23
2025-10-08,East,Search,540,31,2950.01,376.19
2025-10-08,East,Social,625,29,2653.55,297.6
2025-10-08,East,Email,359,29,2497.18,100.32
2025-10-08,East,Affiliate,380,26,2483.77,187.59
2025-10-08,South,Search,481,45,3590.34,340.67
2025-10-08,South,Social,541,19,1650.44,328.48
2025-10-08,South,Email,303,33,3443.18,100.52
2025-10-08,South,Affiliate,352,20,1745.94,190.73
2025-10-08,North,Search,427,29,2207.66,358.23
2025-10-08,North,Social,536,24,1884.56,310.22
2025-10-08,North,Email,254,22,1872.46,95.28
2025-10-08,North,Affiliate,320,20,1622.34,199.5
2025-10-08,West,Search,391,30,2454.58,342.89
2025-10-08,West,Social,453,18,1424.6,316.92
2025-10-08,West,Email,223,18,1758.13,101.08
2025-10-08,West,Affiliate,265,16,1313.86,199.32
2025-10-09,East,Search,557,32,2687.02,356.26
2025-10-09,East,Social,635,31,2268.47,308.86
2025-10-09,East,Email,311,25,2555.69,96.61
2025-10-09,East,Affiliate,409,23,2316.61,191.25
2025-10-09,South,Search,484,33,3519.45,373.06
2025-10-09,South,Social,602,27,2565.53,317.88
2025-10-09,South,Email,282,21,1761.18,103.98
2025-10-09,South,Affiliate,367,25,2121.23,191.06
2025-10-09,North,Search,460,26,1988.21,349.83
2025-10-09,North,Social,509,25,2034.05,315.32
2025-10-09,North,Email,275,29,2380.97,103.65
2025-10-09,North,Affiliate,294,18,1522.68,189.86
2025-10-09,West,Search,424,30,2530.51,356.07
2025-10-09,West,Social,469,22,2011.83,296.48
2025-10-09,West,Email,229,21,2058.12,104.12
2025-10-09,West,Affiliate,336,17,1492.17,184.18
2025-10-10,East,Search,534,30,2524.71,341.23
2025-10-10,East,Social,616,26,2444.35,325.65
2025-10-10,East,Email,323,25,2091.94,97.56
2025-10-10,East,Affiliate,382,25,2620.14,197.14
2025-10-10,South,Search,509,34,3134.6,375.67
2025-10-10,South,Social,566,15,1254.42,314.27
2025-10-10,South,Email,303,26,2292.89,96.59
2025-10-10,South,Affiliate,373,24,2376.0,191.63
2025-10-10,North,Search,459,28,2245.55,357.64
2025-10-10,North,Social,479,18,1860.64,297.95
2025-10-10,North,Email,245,21,2075.93,104.53
2025-10-10,North,Affiliate,331,25,2343.16,194.15
2025-10-10,West,Search,411,21,1927.32,345.23
2025-10-10,West,Social,426,13,1156.41,297.29
2025-10-10,West,Email,238,20,1542.43,98.79
2025-10-10,West,Affiliate,326,20,1900.04,178.47
2025-10-11,East,Search,559,29,2875.82,346.15
2025-10-11,East,Social,627,27,2216.17,321.64
2025-10-11,East,Email,307,21,2031.93,104.16
2025-10-11,East,Affiliate,397,28,2696.72,199.4
2025-10-11,South,Search,490,23,2169.49,368.33
2025-10-11,South,Social,534,14,1159.52,298.07
2025-10-11,South,Email,296,30,2780.48,93.36
2025-10-11,South,Affiliate,354,28,2450.07,188.88
2025-10-11,North,Search,461,29,2661.22,378.18
2025-10-11,North,Social,508,19,1610.67,310.98
2025-10-11,North,Email,272,24,2163.41,96.23
2025-10-11,North,Affiliate,349,20,2016.17,181.36
2025-10-11,West,Search,405,26,2015.39,380.76
2025-10-11,West,Social,487,21,2186.73,315.24
2025-10-11,West,Email,213,14,1468.27,99.88
2025-10-11,West,Affiliate,266,17,1703.18,194.6
2025-10-12,East,Search,561,29,2773.1,340.86
2025-10-12,East,Social,626,29,2483.44,304.97
2025-10-12,East,Email,321,26,2077.76,97.43
2025-10-12,East,Affiliate,406,32,2870.08,199.32
2025-10-12,South,Search,508,25,2286.48,361.82
2025-10-12,South,Social,555,14,1210.15,301.89
2025-10-12,South,Email,292,23,2496.2,99.95
2025-10-12,South,Affiliate,353,24,2199.45,192.38
2025-10-12,North,Search,486,29,2928.8,371.03
2025-10-12,North,Social,521,23,2011.43,295.84
2025-10-12,North,Email,272,22,2089.24,94.64
2025-10-12,North,Affiliate,313,24,2216.99,195.75
2025-10-12,West,Search,436,18,1540.58,351.55
2025-10-12,West,Social,430,19,1679.63,310.46
2025-10-12,West,Email,244,23,1957.5,96.47
2025-10-12,West,Affiliate,263,17,1789.21,180.69
2025-10-13,East,Search,539,34,3048.09,377.65
2025-10-13,East,Social,623,29,2466.57,314.33
2025-10-13,East,Email,284,26,2241.12,97.29
2025-10-13,East,Affiliate,354,20,1837.03,179.03
2025-10-13,South,Search,474,33,3185.97,383.53
2025-10-13,South,Social,558,24,2030.01,328.49
2025-10-13,South,Email,267,26,2286.92,95.43
2025-10-13,South,Affiliate,345,25,2207.79,193.04
2025-10-13,North,Search,472,29,2597.35,370.15
2025-10-13,North,Social,551,18,1439.13,293.52
2025-10-13,North,Email,275,33,2791.08,95.96
2025-10-13,North,Affiliate,323,18,1714.0,199.03
2025-10-13,West,Search,390,18,1406.34,343.37
2025-10-13,West,Social,511,22,1918.95,295.9
2025-10-13,West,Email,252,20,1846.06,98.47
2025-10-13,West,Affiliate,259,22,2040.18,200.2
2025-10-14,East,Search,525,38,3637.72,375.94
2025-10-14,East,Social,662,24,1870.64,299.18
2025-10-14,East,Email,341,41,4132.97,100.19
2025-10-14,East,Affiliate,381,20,1850.86,196.78
2025-10-14,South,Search,492,30,2818.26,358.36
2025-10-14,South,Social,557,19,1663.96,299.05
2025-10-14,South,Email,266,27,2727.93,97.89
2025-10-14,South,Affiliate,330,22,2258.42,201.32
2025-10-14,North,Search,480,26,2132.54,374.17
2025-10-14,North,Social,530,17,1444.5,317.64
2025-10-14,North,Email,267,28,2312.84,96.8
2025-10-14,North,Affiliate,309,11,1065.49,190.97
2025-10-14,West,Search,444,24,2107.66,342.38
2025-10-14,West,Social,492,23,2164.47,320.51
2025-10-14,West,Email,229,19,1712.26,93.86
2025-10-14,West,Affiliate,292,19,1810.01,187.92
2025-10-15,East,Search,628,27,2641.0,381.22
2025-10-15,East,Social,754,33,3145.42,302.93
2025-10-15,East,Email,368,35,3373.27,99.83
2025-10-15,East,Affiliate,467,36,3227.89,180.19
2025-10-15,South,Search,631,46,4066.98,357.32
2025-10-15,South,Social,636,16,1467.06,315.56
2025-10-15,South,Email,314,26,2330.24,99.89
2025-10-15,South,Affiliate,402,27,2229.06,195.42
2025-10-15,North,Search,558,26,2752.64,341.72
2025-10-15,North,Social,605,22,1717.23,319.59
2025-10-15,North,Email,278,27,2447.59,94.77
2025-10-15,North,Affiliate,370,32,2943.22,190.8
2025-10-15,West,Search,494,22,2102.04,382.24
2025-10-15,West,Social,539,22,2267.49,321.38
2025-10-15,West,Email,316,26,2499.35,101.78
2025-10-15,West,Affiliate,347,20,1749.97,183.21
2025-10-16,East,Search,568,32,2987.21,343.84
2025-10-16,East,Social,629,33,2969.31,297.47
2025-10-16,East,Email,312,32,2484.13,98.04
2025-10-16,East,Affiliate,414,33,3172.1,182.77
2025-10-16,South,Search,460,33,3269.8,378.56
2025-10-16,South,Social,545,20,1811.97,299.32
2025-10-16,South,Email,285,25,2343.94,101.71
2025-10-16,South,Affiliate,340,22,2099.54,198.58
2025-10-16,North,Search,497,20,1793.07,375.75
2025-10-16,North,Social,500,22,1835.6,294.29
2025-10-16,North,Email,265,26,2495.42,99.66
2025-10-16,North,Affiliate,317,28,2528.5,184.03
2025-10-16,West,Search,371,17,1722.72,367.67
2025-10-16,West,Social,449,15,1417.79,297.98
2025-10-16,West,Email,260,23,2001.39,95.49
2025-10-16,West,Affiliate,309,18,1517.66,196.93
2025-10-17,East,Search,573,37,3006.69,356.62
2025-10-17,East,Social,599,26,2594.24,327.12
2025-10-17,East,Email,291,25,2078.36,94.57
2025-10-17,East,Affiliate,352,17,1739.32,188.54
2025-10-17,South,Search,493,29,2939.5,369.0
2025-10-17,South,Social,623,24,2143.04,307.6
2025-10-17,South,Email,285,24,2030.14,95.29
2025-10-17,South,Affiliate,341,24,2431.98,189.23
2025-10-17,North,Search,454,28,2428.52,373.78
2025-10-17,North,Social,458,21,2135.51,302.36
2025-10-17,North,Email,255,28,2353.28,99.79
2025-10-17,North,Affiliate,314,23,1954.33,196.14
2025-10-17,West,Search,427,28,2275.54,367.85
2025-10-17,West,Social,511,19,1519.82,300.9
2025-10-17,West,Email,233,19,1605.97,95.97
2025-10-17,West,Affiliate,276,11,955.79,201.73
2025-10-18,East,Search,565,36,3068.92,356.84
2025-10-18,East,Social,612,32,2780.89,298.11
2025-10-18,East,Email,308,24,2517.21,103.79
2025-10-18,East,Affiliate,373,33,2899.62,184.68
2025-10-18,South,Search,515,29,2741.7,360.53
2025-10-18,South,Social,543,25,2347.63,302.19
2025-10-18,South,Email,266,19,1469.72,102.89
2025-10-18,South,Affiliate,360,20,2099.82,193.82
2025-10-18,North,Search,471,29,2763.69,374.58
2025-10-18,North,Social,473,24,2099.41,330.48
2025-10-18,North,Email,263,24,1942.07,104.58
2025-10-18,North,Affiliate,352,29,2977.7,201.74
2025-10-18,West,Search,421,22,2038.96,358.97
2025-10-18,West,Social,483,20,1841.74,329.72
2025-10-18,West,Email,245,17,1565.7,98.6
2025-10-18,West,Affiliate,275,16,1536.7,196.97
2025-10-19,East,Search,565,25,2268.31,385.75
2025-10-19,East,Social,669,28,3070.64,313.2
2025-10-19,East,Email,273,30,2670.67,101.27
2025-10-19,East,Affiliate,414,33,2299.4,179.53
2025-10-19,South,Search,464,28,2682.76,375.54
2025-10-19,South,Social,592,21,1829.01,327.45
2025-10-19,South,Email,312,29,2384.07,96.69
2025-10-19,South,Affiliate,384,24,2516.39,193.38
2025-10-19,North,Search,498,17,1289.5,378.23
2025-10-19,North,Social,551,16,1756.45,303.24
2025-10-19,North,Email,251,21,1668.81,98.74
2025-10-19,North,Affiliate,339,36,3641.73,187.65
2025-10-19,West,Search,414,27,2070.23,377.7
2025-10-19,West,Social,455,13,1173.19,324.53
2025-10-19,West,Email,230,23,2275.21,105.28
2025-10-19,West,Affiliate,309,22,1959.07,198.14
2025-10-20,East,Search,560,36,3234.87,363.3
2025-10-20,East,Social,605,21,1721.2,327.28
2025-10-20,East,Email,288,22,2023.66,96.84
2025-10-20,East,Affiliate,417,28,2491.67,186.27
2025-10-20,South,Search,461,18,1799.5,374.05
2025-10-20,South,Social,516,21,1817.86,309.41
2025-10-20,South,Email,305,37,3060.61,94.58
2025-10-20,South,Affiliate,337,24,2271.11,196.2
2025-10-20,North,Search,485,31,2783.07,348.89
2025-10-20,North,Social,498,16,1318.24,320.98
2025-10-20,North,Email,234,29,2542.1,103.64
2025-10-20,North,Affiliate,347,22,1949.21,185.65
2025-10-20,West,Search,396,22,2073.16,361.01
2025-10-20,West,Social,475,21,1757.21,310.66
2025-10-20,West,Email,213,21,1860.93,97.33
2025-10-20,West,Affiliate,268,14,1038.98,193.32
2025-10-21,East,Search,559,34,3307.55,366.89
2025-10-21,East,Social,619,23,2147.18,321.25
2025-10-21,East,Email,294,26,2281.39,101.63
2025-10-21,East,Affiliate,388,20,1687.23,199.57
2025-10-21,South,Search,456,23,2011.97,356.98
2025-10-21,South,Social,560,14,1407.85,309.27
2025-10-21,South,Email,250,23,2041.79,95.6
2025-10-21,South,Affiliate,347,23,1924.65,184.67
2025-10-21,North,Search,462,25,2306.61,360.25
2025-10-21,North,Social,527,24,2340.31,296.22
2025-10-21,North,Email,238,25,1781.85,105.58
2025-10-21,North,Affiliate,358,24,2296.15,201.07
2025-10-21,West,Search,415,16,1423.96,354.61
2025-10-21,West,Social,508,28,2327.91,309.68
2025-10-21,West,Email,240,23,2106.85,105.14
2025-10-21,West,Affiliate,296,26,2280.33,197.08
2025-10-22,East,Search,547,28,2502.86,366.47
2025-10-22,East,Social,615,29,2757.68,310.24
2025-10-22,East,Email,300,30,2583.0,105.5
2025-10-22,East,Affiliate,384,33,3608.89,184.41
2025-10-22,South,Search,492,28,2837.6,350.48
2025-10-22,South,Social,533,16,1511.24,328.98
2025-10-22,South,Email,288,34,3301.07,104.44
2025-10-22,South,Affiliate,342,27,2514.69,191.05
2025-10-22,North,Search,422,26,2260.15,377.42
2025-10-22,North,Social,494,18,1551.24,327.23
2025-10-22,North,Email,244,25,2035.78,94.29
2025-10-22,North,Affiliate,314,19,1731.12,191.68
2025-10-22,West,Search,374,20,1777.03,366.62
2025-10-22,West,Social,480,19,1633.03,302.47
2025-10-22,West,Email,252,22,1797.33,96.56
2025-10-22,West,Affiliate,312,22,1887.35,188.97
2025-10-23,East,Search,546,28,2865.54,364.6
2025-10-23,East,Social,703,23,2191.69,318.95
2025-10-23,East,Email,298,13,1286.75,105.47
2025-10-23,East,Affiliate,387,28,2542.13,196.78
2025-10-23,South,Search,463,29,2353.15,354.92
2025-10-23,South,Social,634,22,2261.17,298.25
2025-10-23,South,Email,289,36,3439.17,94.78
2025-10-23,South,Affiliate,354,29,2716.68,197.92
2025-10-23,North,Search,472,38,3413.15,347.19
2025-10-23,North,Social,513,16,1495.25,320.34
2025-10-23,North,Email,262,21,1917.63,94.3
2025-10-23,North,Affiliate,340,18,1256.39,186.05
2025-10-23,West,Search,442,28,2873.86,365.04
2025-10-23,West,Social,485,16,1293.85,331.77
2025-10-23,West,Email,214,15,1276.75,99.1
2025-10-23,West,Affiliate,318,15,1427.99,193.85
2025-10-24,East,Search,552,33,2563.93,379.17
2025-10-24,East,Social,587,24,1995.42,329.02
2025-10-24,East,Email,335,26,2552.61,104.73
2025-10-24,East,Affiliate,388,29,2310.31,192.62
2025-10-24,South,Search,530,38,3521.47,352.49
2025-10-24,South,Social,593,25,1757.9,313.33
2025-10-24,South,Email,279,29,2745.49,105.16
2025-10-24,South,Affiliate,340,23,1922.65,188.36
2025-10-24,North,Search,509,34,3087.67,382.26
2025-10-24,North,Social,519,23,2137.16,319.92
2025-10-24,North,Email,243,23,1866.91,103.22
2025-10-24,North,Affiliate,345,24,2347.48,187.55
2025-10-24,West,Search,444,28,2380.58,353.44
2025-10-24,West,Social,513,17,1373.66,311.87
2025-10-24,West,Email,237,19,1781.14,99.62
2025-10-24,West,Affiliate,295,20,1733.81,198.23
2025-10-25,East,Search,547,36,3718.57,348.24
2025-10-25,East,Social,641,27,2666.47,320.27
2025-10-25,East,Email,295,32,3061.8,96.49
2025-10-25,East,Affiliate,388,25,2245.42,187.58
2025-10-25,South,Search,480,31,3121.9,347.14
2025-10-25,South,Social,573,14,1007.91,306.9
2025-10-25,South,Email,276,29,2973.46,104.33
2025-10-25,South,Affiliate,367,24,1953.48,184.03
2025-10-25,North,Search,454,29,2714.52,375.53
2025-10-25,North,Social,527,15,1179.39,303.39
2025-10-25,North,Email,273,21,1756.7,94.84
2025-10-25,North,Affiliate,314,32,2712.01,202.75
2025-10-25,West,Search,430,30,2832.62,359.26
2025-10-25,West,Social,455,17,1558.04,310.17
2025-10-25,West,Email,232,25,2777.69,101.99
2025-10-25,West,Affiliate,278,23,2010.65,186.85
2025-10-26,East,Search,612,32,3279.2,373.74
2025-10-26,East,Social,652,24,2175.23,298.39
2025-10-26,East,Email,310,27,2859.38,94.95
2025-10-26,East,Affiliate,406,31,2869.36,194.96
2025-10-26,South,Search,487,32,3011.31,384.41
2025-10-26,South,Social,506,20,1679.54,315.56
2025-10-26,South,Email,278,26,2533.2,98.19
2025-10-26,South,Affiliate,392,37,3138.12,180.57
2025-10-26,North,Search,465,18,1432.81,377.23
2025-10-26,North,Social,528,30,3252.63,316.92
2025-10-26,North,Email,227,23,2139.55,103.52
2025-10-26,North,Affiliate,302,17,1717.5,193.51
2025-10-26,West,Search,432,23,2085.04,357.63
2025-10-26,West,Social,502,19,1462.45,325.16
2025-10-26,West,Email,242,20,1626.34,97.6
2025-10-26,West,Affiliate,312,19,2033.9,183.27
2025-10-27,East,Search,591,27,2186.24,353.21
2025-10-27,East,Social,664,20,1955.23,302.91
2025-10-27,East,Email,307,39,3405.91,101.96
2025-10-27,East,Affiliate,364,22,1818.85,187.3
2025-10-27,South,Search,493,25,1921.89,384.41
2025-10-27,South,Social,602,21,1947.76,313.62
2025-10-27,South,Email,273,24,2204.86,101.47
2025-10-27,South,Affiliate,339,28,2701.22,183.26
2025-10-27,North,Search,470,32,3299.35,363.5
2025-10-27,North,Social,520,16,1403.84,302.25
2025-10-27,North,Email,248,20,1639.34,97.31
2025-10-27,North,Affiliate,347,28,2508.64,199.84
2025-10-27,West,Search,438,22,1873.27,358.13
2025-10-27,West,Social,479,15,1430.6,327.86
2025-10-27,West,Email,235,17,1548.81,106.39
2025-10-27,West,Affiliate,320,15,1649.28,191.35
2025-10-28,East,Search,556,33,3287.7,388.65
2025-10-28,East,Social,637,34,3199.29,324.53
2025-10-28,East,Email,300,29,2205.17,105.86
2025-10-28,East,Affiliate,384,24,2078.1,181.43
2025-10-28,South,Search,495,24,2130.77,384.59
2025-10-28,South,Social,565,30,2609.35,317.76
2025-10-28,South,Email,291,25,2054.95,105.92
2025-10-28,South,Affiliate,332,26,2123.7,196.99
2025-10-28,North,Search,481,33,2805.87,383.71
2025-10-28,North,Social,482,18,1603.73,312.75
2025-10-28,North,Email,266,20,1689.93,97.95
2025-10-28,North,Affiliate,309,17,1568.26,188.39
2025-10-28,West,Search,444,27,2470.2,361.53
2025-10-28,West,Social,476,17,1579.49,322.01
2025-10-28,West,Email,248,23,2465.19,103.4
2025-10-28,West,Affiliate,285,21,1669.25,182.88
2025-10-29,East,Search,564,28,2336.67,356.79
2025-10-29,East,Social,649,30,3155.6,300.12
2025-10-29,East,Email,302,25,1964.0,98.42
2025-10-29,East,Affiliate,350,21,1740.29,190.07
2025-10-29,South,Search,537,26,2204.93,353.19
2025-10-29,South,Social,597,25,1928.55,296.69
2025-10-29,South,Email,270,30,2446.1,106.21
2025-10-29,South,Affiliate,359,22,2131.02,199.65
2025-10-29,North,Search,483,33,3276.75,369.23
2025-10-29,North,Social,534,14,1343.89,304.41
2025-10-29,North,Email,243,24,2344.5,99.34
2025-10-29,North,Affiliate,357,38,3300.75,190.36
2025-10-29,West,Search,410,11,1026.61,357.4
2025-10-29,West,Social,469,13,1048.13,311.97
2025-10-29,West,Email,243,19,1823.79,98.01
2025-10-29,West,Affiliate,289,20,1793.7,197.41
2025-10-30,East,Search,589,31,3012.72,359.79
2025-10-30,East,Social,624,25,2529.02,330.13
2025-10-30,East,Email,325,32,3293.44,97.54
2025-10-30,East,Affiliate,400,27,2558.82,185.94
2025-10-30,South,Search,472,17,1513.65,389.34
2025-10-30,South,Social,579,26,2316.87,311.26
2025-10-30,South,Email,264,27,2351.27,96.8
2025-10-30,South,Affiliate,334,26,2417.33,193.92
2025-10-30,North,Search,449,21,1794.26,370.91
2025-10-30,North,Social,552,21,2117.35,321.31
2025-10-30,North,Email,244,18,1897.47,99.03
2025-10-30,North,Affiliate,322,26,2698.14,183.48
2025-10-30,West,Search,444,29,2973.53,374.45
2025-10-30,West,Social,477,21,1899.07,320.84
2025-10-30,West,Email,231,19,1584.12,105.49
2025-10-30,West,Affiliate,307,19,1780.31,192.28
2025-10-31,East,Search,601,27,2707.99,355.92
2025-10-31,East,Social,625,34,2570.06,311.47
2025-10-31,East,Email,283,29,2609.91,97.75
2025-10-31,East,Affiliate,387,28,2581.32,190.01
2025-10-31,South,Search,501,30,3055.57,373.45
2025-10-31,South,Social,541,21,1924.76,314.59
2025-10-31,South,Email,292,34,3292.51,99.57
2025-10-31,South,Affiliate,341,23,1961.77,196.31
2025-10-31,North,Search,461,21,2161.54,387.53
2025-10-31,North,Social,524,18,1722.74,330.98
2025-10-31,North,Email,217,12,1174.04,106.06
2025-10-31,North,Affiliate,301,19,1730.46,182.35
2025-10-31,West,Search,394,17,1511.36,378.91
2025-10-31,West,Social,478,21,1663.96,328.8
2025-10-31,West,Email,256,19,1625.83,105.41
2025-10-31,West,Affiliate,317,18,1574.02,189.37
2025-11-01,East,Search,666,33,3010.92,351.95
2025-11-01,East,Social,758,31,2451.45,302.34
2025-11-01,East,Email,401,42,3449.57,99.59
2025-11-01,East,Affiliate,464,36,3474.64,182.98
2025-11-01,South,Search,605,33,3218.54,355.7
2025-11-01,South,Social,666,25,2055.6,304.24
2025-11-01,South,Email,303,29,2387.87,95.76
2025-11-01,South,Affiliate,421,27,2143.7,196.62
2025-11-01,North,Search,519,27,2831.14,390.78
2025-11-01,North,Social,616,29,2997.92,306.62
2025-11-01,North,Email,311,31,3004.47,102.35
2025-11-01,North,Affiliate,417,27,2412.82,201.43
2025-11-01,West,Search,475,18,1743.22,357.97
2025-11-01,West,Social,550,13,941.78,307.94
2025-11-01,West,Email,282,28,2372.0,95.43
2025-11-01,West,Affiliate,363,29,2414.45,182.8
2025-11-02,East,Search,568,28,2655.37,360.35
2025-11-02,East,Social,621,28,2781.24,335.76
2025-11-02,East,Email,320,25,2268.8,99.21
2025-11-02,East,Affiliate,408,24,2116.98,204.51
2025-11-02,South,Search,500,29,2235.24,379.8
2025-11-02,South,Social,557,21,1839.58,305.36
2025-11-02,South,Email,289,22,2041.28,105.68
2025-11-02,South,Affiliate,377,28,2211.57,192.38
2025-11-02,North,Search,508,41,3646.9,390.69
2025-11-02,North,Social,524,19,1637.43,335.43
2025-11-02,North,Email,272,28,2614.16,104.19
2025-11-02,North,Affiliate,326,22,2002.37,197.12
2025-11-02,West,Search,422,23,2185.2,366.62
2025-11-02,West,Social,464,16,1358.11,328.63
2025-11-02,West,Email,256,33,3226.65,95.4
2025-11-02,West,Affiliate,316,17,1428.93,192.12
2025-11-03,East,Search,554,32,3205.5,362.44
2025-11-03,East,Social,651,29,2747.63,302.41
2025-11-03,East,Email,319,22,2012.7,104.22
2025-11-03,East,Affiliate,374,33,3122.25,199.15
2025-11-03,South,Search,500,32,3202.84,349.07
2025-11-03,South,Social,536,18,1647.59,330.27
2025-11-03,South,Email,291,31,2340.65,106.86
2025-11-03,South,Affiliate,370,13,1209.13,188.27
2025-11-03,North,Search,476,29,3077.14,373.64
2025-11-03,North,Social,577,24,1690.57,325.74
2025-11-03,North,Email,237,21,2291.46,96.46
2025-11-03,North,Affiliate,364,26,2551.15,201.73
2025-11-03,West,Search,406,27,2611.59,364.86
2025-11-03,West,Social,537,26,2192.7,329.63
